Method 8,Y1/PC_05 (X-Variables),Y2/PC_06 (X-Variables),Y4/PC_07 (X-Variables),Y5/PC_06 (X-Variables),Y6/PC_07 (X-Variables),original_band,portable_band
1,0,0,0,0,0,404.52,
2,-4.731,-0.316,1.404,-13.19,-3.233,408.52,
3,-5.635,-0.457,0.0225,-15.096,-6.833,412.53,
4,-4.752,-0.353,1.373,-9.262,-4.7,416.53,
5,-3.693,-0.13,3.069,-4.811,-1.484,420.53,
6,-3.706,-0.12,1.778,-8.64,-3.189,424.53,
7,-5.492,-0.351,-0.657,-13.218,-11.576,428.54,
8,-6.159,-0.485,-0.26,-13.195,-6.118,432.54,
9,-5.629,-0.436,1.372,-14.051,-0.181,436.54,
10,-5.071,-0.316,2.386,-11.991,-4.033,440.54,
11,-5.096,-0.337,1.459,-13.056,-1.593,444.55,
12,-6.482,-0.525,-1.457,-20.877,-8.979,448.55,450
13,-6.534,-0.477,-1.373,-21.387,-17.643,452.55,
14,-5.893,-0.276,1.412,-17.273,-8.489,456.55,458
15,-6.627,-0.354,1.019,-21.387,-6.854,460.56,
16,-7.22,-0.469,-1.36,-26.3,-21.803,464.56,466
17,-6.623,-0.379,0.55,-22.018,-14.384,468.56,
18,-6.325,-0.346,2.652,-18.756,-1.899,472.56,474
19,-6.363,-0.322,1.921,-18.384,-7.934,476.56,
20,-5.793,-0.215,3.29,-14.075,-0.146,480.57,482
21,-4.604,-0.147,7.091,-3.84,22.983,484.57,
22,-2.486,0.06391,10.267,9.689,31.55,488.57,490
23,-0.242,0.367,12.034,22.683,38.56,492.57,
24,1.797,0.574,13.434,32.809,52.49,496.58,498
25,6.126,1.341,20.493,39.623,106.125,500.58,
26,8.283,1.522,19.992,42.381,105.132,504.58,506
27,6.687,0.948,10.429,33.839,43.977,508.58,
28,3.878,0.501,2.514,1.115,-0.06737,512.59,514
29,-4.204,-0.521,-13.173,-55.47,-79.076,516.59,
30,-13.286,-1.726,-25.79,-105.528,-134.03,520.59,522
31,-18.911,-2.598,-28.645,-127.693,-145.885,524.59,
32,-21.125,-2.788,-24.708,-118.217,-129.8,528.6,530
33,-19.018,-2.43,-13.935,-86.346,-81.087,532.6,
34,-15.48,-1.908,-5.912,-57.689,-41.061,536.6,538
35,-13.72,-1.599,-6.738,-50.493,-41.531,540.6,
36,-13.606,-1.608,-13.17,-50.871,-69.099,544.61,546
37,-11.139,-1.145,-13.087,-33.921,-84.046,548.61,
38,-4.973,-0.185,-3.428,-1.994,-52.774,552.61,554
39,-0.369,0.437,3.422,25.554,-24.606,556.61,
40,-0.235,0.604,5.341,43.149,-26.38,560.61,562
41,-0.688,0.656,10.342,60.316,-0.488,564.62,
42,0.838,0.814,20.555,78.201,50.564,568.62,570
43,0.475,0.817,24.643,74.407,66.079,572.62,
44,-3.766,0.37,16.687,47.437,33.585,576.62,578
45,-6.822,-0.03401,7.223,25.18,4.343,580.63,
46,-7.805,-0.272,-0.27,8.342,-20.62,584.63,586
47,-8.648,-0.333,-10.702,-14.888,-70.38,588.63,
48,-8.315,-0.248,-17.129,-31.537,-105.69,592.63,594
49,-7.112,-0.357,-12.369,-32.45,-89.626,596.64,
50,-8.16,-0.658,-5.334,-30.784,-48.509,600.64,602
51,-12.637,-1.232,-1.909,-37.188,-15.49,604.64,
52,-15.092,-1.515,2.375,-45.925,21.466,608.64,610
53,-14.908,-1.417,4.131,-50.337,44.079,612.65,
54,-15.844,-1.449,0.645,-57.318,37.399,616.65,618
55,-18.064,-1.672,-5.368,-80.889,20.311,620.65,
56,-22.687,-2.305,-18.318,-125.695,-10.428,624.65,626
57,-29.648,-3.244,-32.864,-173.097,-36.945,628.66,
58,-35.381,-3.783,-41.08,-200.045,-54.967,632.66,634
59,-33.86,-3.296,-33.978,-178.722,-49.095,636.66,
60,-25.942,-2.293,-13.348,-114.7,-12.429,640.66,642
61,-17.168,-1.388,7.442,-44.021,25.851,644.66,
62,-9.959,-0.734,20.216,0.528,50.94,648.67,650
63,-6.972,-0.554,19.684,9.107,35.849,652.67,
64,-4.083,-0.01942,13.823,17.934,-14.64,656.67,658
65,3.808,1.328,10.188,42.485,-55.987,660.67,
66,17.062,3.301,12.913,76.619,-53.646,664.68,666
67,31.42,5.335,18.942,116.672,-25.033,668.68,
68,41.453,6.681,26.256,171.736,4.556,672.68,674
69,41.837,6.317,44.536,234.864,91.981,676.68,
70,30.455,3.929,64.038,248.812,217.683,680.69,682
71,22.599,2.448,53.453,164.395,212.539,684.69,
72,23.053,2.783,16.634,38.866,44.812,688.69,690
73,18.553,1.878,-12.108,-15.607,-104.876,692.69,
74,21.529,1.056,2.209,9.096,-1.09,696.7,698
75,28.002,2.229,37.802,107.745,157.537,700.7,
76,29.661,3.304,43.87,161.625,140.85,704.7,706
77,31.274,3.888,41.33,128.168,137.944,708.7,
78,29.468,4.548,33.181,122.838,100.088,712.7,714
79,25.844,4.096,11.965,117.727,-14.8,716.71,
80,23.836,3.156,9.249,102.402,2.238,720.71,722
81,20.637,2.542,12.369,101.937,59.508,724.71,
82,16.259,1.75,9.487,87.955,50.242,728.71,730
83,14.185,0.766,4.537,46.824,43.158,732.72,
84,4.209,-1.144,-7.537,-4.587,31.676,736.72,738
85,-10.499,-3.064,-16.673,-45.226,25.006,740.72,
86,-20.53,-4.003,-17.5,-46.983,26.061,744.72,746
87,-23.369,-4.178,-23.014,-46.305,-33.471,748.73,
88,-20.768,-3.567,-30.078,-80.783,-90.917,752.73,754
89,-20.529,-3.503,-31.529,-141.095,-71.88,756.73,
90,-19.987,-3.477,-33.962,-157.251,-76.528,760.73,762
91,-17.262,-2.934,-30.554,-142.75,-93.11,764.74,
92,-11.584,-2.367,-20.789,-102.011,-70.681,768.74,770
93,-1.56,-1.039,-7.397,5.011,-22.721,772.74,
94,4.404,-0.264,-2.446,34.849,-15.712,776.74,778
95,5.997,0.09692,-8.627,-8.712,-44.435,780.75,
96,4.607,0.422,-8.049,-27.426,-40.172,784.75,786
97,2.949,0.29,-9.491,-34.83,-53.152,788.75,
98,0.01262,-0.16,-24.152,-45.119,-105.59,792.75,794
99,0.813,-0.08685,-24.617,-33.798,-107.304,796.75,
100,2.599,0.217,-13.74,-32.548,-57.307,800.76,802
101,0.53,-0.133,-13.785,-33.061,-42.041,804.76,
102,3.008,-0.222,-9.116,-9.189,-24.401,808.76,810
103,3.168,-0.528,-8.273,-22.947,-19.435,812.76,
104,1.646,-0.701,-13.97,-16.921,-48.986,816.77,818
105,0.664,-0.595,-11.3,-5.779,-44.243,820.77,
106,-6.088,-1.25,-13.404,-28.396,-12.051,824.77,826
107,-10.796,-1.784,-14.485,-44.513,2.88,828.77,
108,-12.926,-1.921,-9.069,-42.271,24.344,832.78,834
109,-9.608,-1.663,-6.036,-17.849,54.732,836.78,
110,-5.003,-1.397,-4.555,-7.089,28.573,840.78,842
111,-8.047,-1.637,-4.919,-14.735,16.466,844.78,
112,-8.936,-1.588,-4.745,-6.872,37.39,848.79,850
113,-8.977,-1.322,0.889,-12.541,57.698,852.79,
114,-11.694,-1.488,-3.367,-40.441,62.896,856.79,
115,-9.721,-1.489,-5.178,-29.146,50.599,860.79,
116,-6.046,-0.992,4.828,1.563,64.775,864.8,
117,-1.61,-0.126,6.784,25.838,73.036,868.8,
118,1.399,0.246,2.812,20.651,74.771,872.8,
119,0.581,-0.274,-1.156,-5.667,34.389,876.8,
120,3.636,0.09901,4.375,-3.674,16.146,880.8,
121,10.872,1.41,0.232,2.557,17.185,884.81,
122,14.359,1.809,-6.409,20.965,-8.421,888.81,
123,12.06,1.214,5.9,38.821,54.098,892.81,
124,7.965,0.377,-14.987,-52.385,-26.138,896.81,
125,16.735,1.151,-23.186,-53.916,1.044,900.82,
126,19.59,1.895,0.87,57.512,106.883,904.82,
127,-2.85,-0.639,-4.137,45.886,0.343,908.82,
128,-36.226,-4.647,-40.823,-131.727,-123.992,912.82,
129,-42.391,-3.161,-46.862,-257.858,-165.076,916.83,
130,-25.355,0.299,-21.137,-191.411,-28.288,920.83,
131,-4.59,1.036,-1.171,23.518,155.61,924.83,
132,4.07,1.59,12.518,146.267,49.068,928.83,
133,-4.753,0.168,-13.903,-0.192,-195.029,932.84,
134,7.959,-0.07512,-11.924,-67.254,-121.558,936.84,
135,40.261,3.185,26.637,44.19,8.735,940.84,
136,55.928,5.589,32.279,103.399,84.087,944.84,
137,62.749,7.36,44.045,198.85,171.375,948.85,
138,63.898,7.19,47.056,278.512,36.719,952.85,
139,57.484,6.167,60.883,227.686,22.882,956.85,
140,42.726,4.579,33.51,132.613,98.473,960.85,
141,17.09,1.228,-35.318,30.21,17.47,964.85,
142,8.583,0.242,-25.713,-8.054,-14.108,968.86,
143,5.074,0.224,-5.792,-18.483,-117.419,972.86,
144,6.057,0.973,-7.684,-31.727,-154.413,976.86,
145,0.972,0.08253,-27.806,-63.937,-121.735,980.86,
146,-9.897,-1.657,-42.032,-73.98,-139.893,984.87,
147,-11.409,-2.515,-32.936,-81.136,-139.945,988.87,
148,-17.966,-2.935,-33.906,-114.774,-128.027,992.87,
149,-29.471,-3.268,-58.334,-199.886,-258.466,996.87,
150,0,0,0,0,0,1000.88,
